Date,Time,"GPU Temperature [°C]","GPU Hot Spot Temperature [°C]","GPU ASIC Power [W]","GPU PPT [W]","GPU Clock [MHz]","GPU Memory Clock [MHz]","GPU D3D Memory Dedicated [MB]","GPU Memory Usage [MB]",
24.4.2026,13:52:6.486,40.0,40.0,31.000,30.527,1757.0,1730.0,1153,5226,
24.4.2026,13:52:6.689,40.0,41.0,30.000,30.442,1758.0,1730.0,1153,5226,
24.4.2026,13:52:6.879,39.0,40.0,30.000,30.242,1758.0,1730.0,1153,5226,
24.4.2026,13:52:7.098,40.0,40.0,30.000,30.290,1758.0,1730.0,1153,5226,
24.4.2026,13:52:7.304,40.0,41.0,30.000,30.337,1758.0,1728.0,1153,5226,
24.4.2026,13:52:7.512,40.0,40.0,30.000,29.804,1757.0,1730.0,1153,5226,
24.4.2026,13:52:7.717,40.0,40.0,30.000,29.798,1757.0,1730.0,1153,5226,
24.4.2026,13:52:7.923,40.0,40.0,30.000,29.864,1757.0,1730.0,1153,5226,
24.4.2026,13:52:8.128,40.0,40.0,29.000,30.084,1743.0,1730.0,1153,5226,
24.4.2026,13:52:8.346,39.0,40.0,30.000,29.868,1754.0,1728.0,1153,5226,
24.4.2026,13:52:8.538,40.0,40.0,29.000,29.912,306.0,1728.0,1153,5226,
24.4.2026,13:52:8.741,40.0,40.0,30.000,29.987,1757.0,1728.0,1153,5226,
24.4.2026,13:52:8.946,40.0,40.0,30.000,29.929,1757.0,1730.0,1153,5226,
24.4.2026,13:52:9.150,40.0,40.0,29.000,30.235,1758.0,1728.0,1153,5226,
24.4.2026,13:52:9.357,40.0,40.0,30.000,30.026,1758.0,1730.0,1153,5226,
24.4.2026,13:52:9.562,40.0,41.0,29.000,30.051,1732.0,1728.0,1153,5226,
24.4.2026,13:52:9.769,40.0,40.0,29.000,30.056,265.0,1730.0,1153,5226,
24.4.2026,13:52:9.969,40.0,40.0,30.000,30.122,1757.0,1728.0,1153,5226,
24.4.2026,13:52:10.162,40.0,40.0,30.000,30.224,1757.0,1730.0,1153,5226,
24.4.2026,13:52:10.365,40.0,40.0,30.000,29.960,288.0,1728.0,1153,5226,
24.4.2026,13:52:10.571,40.0,41.0,30.000,30.065,1727.0,1730.0,1153,5226,
24.4.2026,13:52:10.776,40.0,41.0,30.000,30.136,293.0,1728.0,1153,5226,
24.4.2026,13:52:10.982,40.0,41.0,30.000,30.034,1755.0,1730.0,1153,5226,
24.4.2026,13:52:11.189,39.0,40.0,30.000,30.326,1757.0,1730.0,1153,5226,
24.4.2026,13:52:11.391,40.0,40.0,29.000,30.191,1758.0,1730.0,1153,5226,
24.4.2026,13:52:11.598,40.0,40.0,30.000,30.023,1758.0,1730.0,1153,5226,
24.4.2026,13:52:11.818,40.0,40.0,29.000,30.051,1750.0,1728.0,1153,5226,
24.4.2026,13:52:12.034,40.0,40.0,30.000,29.877,1757.0,1728.0,1153,5226,
24.4.2026,13:52:12.222,39.0,40.0,30.000,29.882,1757.0,1730.0,1153,5226,
24.4.2026,13:52:12.438,40.0,40.0,29.000,30.146,281.0,1730.0,1153,5226,
24.4.2026,13:52:12.645,39.0,41.0,30.000,30.128,1755.0,1730.0,1153,5226,
24.4.2026,13:52:12.843,40.0,40.0,30.000,30.059,308.0,1730.0,1153,5226,
24.4.2026,13:52:13.047,40.0,40.0,30.000,30.130,1757.0,1730.0,1153,5226,
24.4.2026,13:52:13.251,40.0,41.0,29.000,30.185,1758.0,1730.0,1153,5226,
