Date,Time,"GPU Temperature [°C]","GPU Hot Spot Temperature [°C]","GPU ASIC Power [W]","GPU PPT [W]","GPU Clock [MHz]","GPU Memory Clock [MHz]","GPU D3D Memory Dedicated [MB]","GPU Memory Usage [MB]",
19.4.2026,13:49:39.688,50.0,52.0,27.000,28.205,1756.0,1728.0,2626,4740,
19.4.2026,13:49:39.893,50.0,51.0,28.000,28.064,1755.0,1730.0,2626,4740,
19.4.2026,13:49:40.095,50.0,51.0,27.000,28.195,1740.0,1728.0,2626,4740,
19.4.2026,13:49:40.298,49.0,51.0,28.000,28.232,1756.0,1730.0,2626,4740,
19.4.2026,13:49:40.498,50.0,51.0,27.000,28.194,1753.0,1728.0,2626,4740,
19.4.2026,13:49:40.700,50.0,51.0,27.000,28.137,1756.0,1730.0,2626,4740,
19.4.2026,13:49:40.904,49.0,52.0,28.000,28.209,1755.0,1730.0,2626,4740,
19.4.2026,13:49:41.108,50.0,51.0,27.000,28.197,1756.0,1730.0,2626,4740,
19.4.2026,13:49:41.310,50.0,51.0,28.000,28.115,1757.0,1730.0,2626,4740,
19.4.2026,13:49:41.511,50.0,52.0,28.000,28.409,1757.0,1730.0,2626,4740,
19.4.2026,13:49:41.728,50.0,51.0,28.000,28.219,1757.0,1728.0,2626,4740,
19.4.2026,13:49:41.930,50.0,51.0,28.000,28.415,1752.0,1728.0,2626,4740,
19.4.2026,13:49:42.132,50.0,52.0,28.000,28.383,1756.0,1728.0,2626,4740,
19.4.2026,13:49:42.338,50.0,52.0,27.000,28.034,1755.0,1728.0,2626,4740,
19.4.2026,13:49:42.538,50.0,51.0,27.000,27.835,1721.0,1730.0,2626,4740,
19.4.2026,13:49:42.740,50.0,52.0,27.000,27.891,1757.0,1730.0,2626,4740,
19.4.2026,13:49:42.942,49.0,51.0,27.000,27.858,1745.0,1730.0,2626,4740,
19.4.2026,13:49:43.144,50.0,52.0,27.000,27.864,1756.0,1728.0,2626,4740,
19.4.2026,13:49:43.350,50.0,52.0,27.000,28.057,1757.0,1728.0,2626,4740,
19.4.2026,13:49:43.551,50.0,51.0,28.000,28.081,1752.0,1730.0,2626,4740,
19.4.2026,13:49:43.754,50.0,51.0,27.000,28.095,1757.0,1728.0,2626,4740,
19.4.2026,13:49:43.954,50.0,51.0,27.000,28.095,1757.0,1728.0,2626,4740,
19.4.2026,13:49:44.154,50.0,52.0,27.000,27.721,1756.0,1730.0,2626,4740,
19.4.2026,13:49:44.358,50.0,51.0,27.000,27.734,300.0,1730.0,2626,4740,
19.4.2026,13:49:44.559,50.0,51.0,27.000,27.730,1756.0,1728.0,2626,4740,
19.4.2026,13:49:44.776,50.0,51.0,27.000,27.730,1756.0,1730.0,2626,4740,
19.4.2026,13:49:44.978,49.0,51.0,27.000,27.805,1756.0,1730.0,2626,4740,
19.4.2026,13:49:45.178,50.0,51.0,27.000,27.875,1756.0,1730.0,2626,4740,
19.4.2026,13:49:45.381,50.0,51.0,27.000,27.827,1736.0,1728.0,2626,4740,
19.4.2026,13:49:45.582,50.0,51.0,28.000,28.172,1757.0,1730.0,2626,4740,
19.4.2026,13:49:45.786,50.0,52.0,27.000,28.023,1756.0,1730.0,2626,4740,
19.4.2026,13:49:45.989,50.0,51.0,28.000,27.952,1751.0,1730.0,2626,4740,
19.4.2026,13:49:46.192,49.0,51.0,27.000,27.884,1756.0,1730.0,2626,4740,
19.4.2026,13:49:46.397,49.0,51.0,27.000,27.792,1755.0,1730.0,2626,4740,
19.4.2026,13:49:46.596,50.0,51.0,27.000,27.797,1757.0,1730.0,2626,4740,
19.4.2026,13:49:46.798,50.0,52.0,27.000,27.491,1754.0,1730.0,2626,4740,
19.4.2026,13:49:46.999,50.0,51.0,27.000,27.640,1757.0,1728.0,2626,4740,
19.4.2026,13:49:47.201,50.0,52.0,27.000,27.816,1756.0,1730.0,2626,4740,
19.4.2026,13:49:47.405,50.0,52.0,27.000,27.808,1743.0,1730.0,2626,4740,
19.4.2026,13:49:47.620,50.0,51.0,27.000,27.774,1756.0,1728.0,2626,4740,
19.4.2026,13:49:47.823,50.0,51.0,27.000,27.833,1756.0,1730.0,2626,4740,
19.4.2026,13:49:48.024,50.0,52.0,28.000,27.786,1754.0,1730.0,2626,4740,
19.4.2026,13:49:48.226,50.0,51.0,27.000,27.789,1757.0,1730.0,2626,4740,
19.4.2026,13:49:48.425,50.0,52.0,27.000,27.684,1755.0,1728.0,2626,4740,
19.4.2026,13:49:48.627,50.0,52.0,27.000,27.545,1756.0,1728.0,2626,4740,
19.4.2026,13:49:48.832,50.0,52.0,27.000,27.778,1756.0,1728.0,2626,4740,
19.4.2026,13:49:49.033,50.0,51.0,27.000,27.479,300.0,1730.0,2626,4740,
19.4.2026,13:49:49.239,50.0,51.0,27.000,27.683,1756.0,1728.0,2626,4740,
19.4.2026,13:49:49.436,50.0,52.0,27.000,27.733,1752.0,1730.0,2626,4740,
19.4.2026,13:49:49.639,50.0,52.0,28.000,27.909,1756.0,1730.0,2626,4740,
19.4.2026,13:49:49.840,50.0,52.0,27.000,28.050,1757.0,1730.0,2626,4740,
19.4.2026,13:49:50.043,50.0,52.0,27.000,27.969,1755.0,1730.0,2626,4740,
19.4.2026,13:49:50.252,50.0,52.0,27.000,27.723,1757.0,1730.0,2626,4740,
19.4.2026,13:49:50.453,49.0,51.0,27.000,27.585,1756.0,1728.0,2626,4740,
19.4.2026,13:49:50.667,50.0,51.0,27.000,27.633,1731.0,1730.0,2626,4740,
19.4.2026,13:49:50.870,50.0,52.0,27.000,27.843,1757.0,1728.0,2626,4740,
19.4.2026,13:49:51.070,50.0,52.0,27.000,27.836,1748.0,1730.0,2626,4740,
19.4.2026,13:49:51.279,50.0,52.0,28.000,27.699,1757.0,1730.0,2626,4740,
19.4.2026,13:49:51.476,50.0,52.0,27.000,27.849,1756.0,1730.0,2626,4740,
19.4.2026,13:49:51.676,50.0,52.0,27.000,27.703,1757.0,1730.0,2626,4740,
19.4.2026,13:49:51.876,50.0,51.0,28.000,27.900,1757.0,1730.0,2626,4740,
19.4.2026,13:49:52.077,50.0,51.0,28.000,28.059,1757.0,1730.0,2626,4740,
19.4.2026,13:49:52.279,50.0,52.0,27.000,27.804,1756.0,1728.0,2626,4740,
19.4.2026,13:49:52.482,50.0,51.0,27.000,27.682,1756.0,1730.0,2626,4740,
19.4.2026,13:49:52.683,50.0,52.0,27.000,27.781,1725.0,1730.0,2626,4740,
19.4.2026,13:49:52.901,50.0,52.0,27.000,27.689,1756.0,1730.0,2626,4740,
19.4.2026,13:49:53.104,50.0,51.0,28.000,27.780,1741.0,1730.0,2626,4740,
19.4.2026,13:49:53.308,50.0,52.0,28.000,28.222,1757.0,1730.0,2626,4740,
19.4.2026,13:49:53.509,50.0,52.0,28.000,28.319,1752.0,1730.0,2626,4740,
19.4.2026,13:49:53.711,50.0,52.0,28.000,28.317,1757.0,1730.0,2626,4740,
19.4.2026,13:49:53.911,50.0,52.0,28.000,28.193,1756.0,1728.0,2626,4740,
19.4.2026,13:49:54.111,50.0,52.0,28.000,28.265,1756.0,1730.0,2626,4740,
19.4.2026,13:49:54.316,50.0,52.0,27.000,27.933,1757.0,1728.0,2626,4740,
19.4.2026,13:49:54.520,50.0,52.0,28.000,27.798,1754.0,1730.0,2626,4740,
19.4.2026,13:49:54.718,50.0,52.0,27.000,28.057,1757.0,1730.0,2626,4740,
19.4.2026,13:49:54.919,50.0,52.0,28.000,28.121,1757.0,1730.0,2626,4740,
19.4.2026,13:49:55.135,50.0,51.0,28.000,28.041,1750.0,1730.0,2626,4740,
19.4.2026,13:49:55.334,50.0,52.0,27.000,27.933,1755.0,1730.0,2626,4740,
19.4.2026,13:49:55.534,50.0,51.0,27.000,27.933,1756.0,1728.0,2626,4740,
19.4.2026,13:49:55.736,50.0,52.0,27.000,28.089,1728.0,1730.0,2626,4740,
19.4.2026,13:49:55.940,50.0,52.0,28.000,27.989,1757.0,1728.0,2626,4740,
19.4.2026,13:49:56.141,50.0,52.0,28.000,28.165,1756.0,1730.0,2626,4740,
19.4.2026,13:49:56.343,50.0,52.0,27.000,28.273,1747.0,1730.0,2626,4740,
19.4.2026,13:49:56.549,50.0,52.0,27.000,28.010,1757.0,1730.0,2626,4740,
19.4.2026,13:49:56.751,50.0,52.0,27.000,27.808,1755.0,1730.0,2626,4740,
19.4.2026,13:49:56.953,50.0,51.0,27.000,27.733,1757.0,1730.0,2626,4740,
19.4.2026,13:49:57.154,50.0,52.0,27.000,27.584,1756.0,1730.0,2626,4740,
19.4.2026,13:49:57.369,50.0,52.0,27.000,27.694,1739.0,1730.0,2626,4740,
19.4.2026,13:49:57.569,50.0,52.0,27.000,27.722,1756.0,1728.0,2626,4740,
19.4.2026,13:49:57.772,50.0,52.0,27.000,27.797,1753.0,1730.0,2626,4740,
19.4.2026,13:49:57.972,50.0,52.0,27.000,27.652,1756.0,1730.0,2626,4740,
19.4.2026,13:49:58.176,50.0,51.0,27.000,27.935,1757.0,1730.0,2626,4740,
