Date,Time,"GPU Temperature [°C]","GPU Hot Spot Temperature [°C]","GPU Power (Total) [W]","GPU Rail Powers (avg) [W]","GPU Clock [MHz]","GPU Memory Clock [MHz]","GPU Memory Usage [%]","GPU D3D Memory Dedicated [MB]",
25.4.2026,11:30:36.373,44.1,51.8,52.237,0.000,480.0,202.5,12.8,823,
25.4.2026,11:30:36.580,44.1,51.7,52.336,0.000,465.0,202.5,12.8,823,
25.4.2026,11:30:36.795,44.1,51.7,52.336,0.000,465.0,202.5,12.8,823,
25.4.2026,11:30:36.981,44.1,51.9,52.147,0.000,465.0,202.5,12.8,823,
25.4.2026,11:30:37.184,44.1,51.9,52.162,0.000,465.0,202.5,12.8,823,
25.4.2026,11:30:37.388,44.1,52.0,52.178,0.000,465.0,202.5,12.8,823,
25.4.2026,11:30:37.597,44.1,51.9,52.803,0.000,450.0,202.5,12.8,823,
25.4.2026,11:30:37.797,44.1,51.8,52.100,0.000,450.0,202.5,12.8,823,
25.4.2026,11:30:38.000,44.2,51.8,52.264,0.000,450.0,202.5,12.8,823,
25.4.2026,11:30:38.216,44.1,51.8,52.937,0.000,450.0,202.5,12.8,823,
25.4.2026,11:30:38.404,44.1,51.9,52.138,0.000,450.0,202.5,12.8,823,
25.4.2026,11:30:38.610,44.2,51.9,52.113,0.000,435.0,202.5,12.8,823,
25.4.2026,11:30:38.813,44.1,51.9,52.198,0.000,435.0,202.5,12.8,823,
25.4.2026,11:30:39.017,44.1,51.9,52.157,0.000,435.0,202.5,12.8,823,
25.4.2026,11:30:39.219,44.1,51.8,52.189,0.000,435.0,202.5,12.8,823,
25.4.2026,11:30:39.420,44.2,51.9,52.303,0.000,420.0,202.5,12.8,823,
25.4.2026,11:30:39.622,44.2,51.9,52.097,0.000,420.0,202.5,12.8,823,
25.4.2026,11:30:39.833,44.2,51.9,52.156,0.000,420.0,202.5,12.8,823,
25.4.2026,11:30:40.028,44.2,52.0,52.409,0.000,480.0,202.5,12.8,823,
25.4.2026,11:30:40.230,44.2,52.0,52.386,0.000,480.0,202.5,12.8,823,
25.4.2026,11:30:40.434,44.2,52.0,52.186,0.000,510.0,202.5,12.8,823,
