Date,Time,"GPU Temperature [°C]","GPU Hot Spot Temperature [°C]","GPU ASIC Power [W]","GPU PPT [W]","GPU Clock [MHz]","GPU Memory Clock [MHz]","GPU D3D Memory Dedicated [MB]","GPU Memory Usage [MB]",
19.3.2026,21:28:45.940,50.0,51.0,21.000,21.533,25.0,1730.0,2171,2464,
19.3.2026,21:28:46.154,50.0,51.0,21.000,21.357,47.0,1730.0,2171,2464,
19.3.2026,21:28:46.354,50.0,51.0,20.000,21.379,1.0,1730.0,2171,2464,
19.3.2026,21:28:46.555,50.0,51.0,20.000,21.030,1.0,1730.0,2171,2464,
19.3.2026,21:28:46.755,51.0,52.0,21.000,21.301,35.0,1730.0,2163,2455,
19.3.2026,21:28:46.971,50.0,51.0,21.000,21.514,27.0,1730.0,2163,2455,
19.3.2026,21:28:47.188,50.0,51.0,21.000,21.244,56.0,1730.0,2163,2455,
19.3.2026,21:28:47.405,50.0,51.0,21.000,21.138,51.0,1730.0,2163,2455,
19.3.2026,21:28:47.606,50.0,51.0,21.000,21.091,30.0,1730.0,2163,2455,
19.3.2026,21:28:47.806,50.0,51.0,21.000,21.346,64.0,1730.0,2163,2455,
19.3.2026,21:28:48.008,50.0,52.0,21.000,21.521,28.0,1730.0,2163,2455,
Date,Time,"GPU Temperature [°C]","GPU Hot Spot Temperature [°C]","GPU ASIC Power [W]","GPU PPT [W]","GPU Clock [MHz]","GPU Memory Clock [MHz]","GPU D3D Memory Dedicated [MB]","GPU Memory Usage [MB]",
,,GPU [#0]: AMD Radeon RX 5500 XT,GPU [#0]: AMD Radeon RX 5500 XT,GPU [#0]: AMD Radeon RX 5500 XT,GPU [#0]: AMD Radeon RX 5500 XT,GPU [#0]: AMD Radeon RX 5500 XT,GPU [#0]: AMD Radeon RX 5500 XT,GPU [#0]: AMD Radeon RX 5500 XT,GPU [#0]: AMD Radeon RX 5500 XT,
